Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Ющенко,Спас,Богданович,Чоловіча,1949-05-14,Біолог,село Комарно,"парк Прорізний, буд. 765 кв. 865, Василівка, 01465",+380 (99) 955-75-22,vdanyliuk@example.net
Рак,Лесь,Тарасович,Чоловіча,1974-09-29,Правник,селище Люботин,"узвіз Квітки-Основ’яненка, буд. 77, Бурштин, 28673",+380 00 300-84-36,orkhyp46@example.net
Андрієвич,Марʼяна,Тарасівна,Жіноча,1974-10-24,Астронавт,село Герца,"набережна Серединський, буд. 514, Семенівка, 47700",300-27-84,ihavrysh@example.org
Джунь,Єва,Янівна,Жіноча,1992-08-28,Історик,селище Біляївка,"вулиця Абрикосова, буд. 075, Прип'ять, 47115",+380 08 034-78-40,alevtynandriienko@example.org
Кальченко,Софія,Романівна,Жіноча,1971-02-08,Реабілітолог,хутір Світловодськ,"площа Гаванна, буд. 4, Могилів-Подільський, 94715",883 91 50,konopliavarvara@example.net
Сіробаба,Пріска,Іванівна,Жіноча,1952-02-20,Промисловець,місто Андрушівка,"парк Золотий берег, буд. 01, Зміїв, 76438",093 059-38-33,pperepelytsia@example.org
Чабан,Камілла,Артемівна,Жіноча,1959-09-11,Круп'є,селище Хрестівка,"узвіз Ялинкова, буд. 083, Золочів, 72516",+380 (49) 529-56-41,ozakharenko@example.com
Яковенко,Анжела,Кирилівна,Жіноча,1953-03-12,Бібліотекар,село Могилів-Подільський,"парк Об'їзна дорога, буд. 48, Щолкіне, 88524",+380 72 843-58-26,mshylo@example.org
Балабан,Мілена,Іванівна,Жіноча,1952-08-06,Юрист,хутір Мостиська,"проспект Усатівська, буд. 1 кв. 2, Бердичів, 51721",+380 69 933-60-99,zfartushniak@example.net
Павленко,Альберт,Андрійович,Чоловіча,1940-11-24,Мірошник,місто Сокаль,"площа Четверта, буд. 476 кв. 855, Дніпро, 36152",+380 93 341-86-79,viktor98@example.net
Онуфрієнко,Костянтин,Павлович,Чоловіча,1950-10-02,Соціолог,селище Ржищів,"проспект Отамана Головатого, буд. 543 кв. 9, Кам'янка-Бузька, 03451",+380 (84) 351-06-05,varfolomiitiahnybok@example.net
Шморгун,Василь,Іванович,Чоловіча,1956-12-14,Архітектор,селище Татарбунари,"проспект Аеродромний 2-й, буд. 477 кв. 34, Тернопіль, 16860",+380 41 348 96 25,hannasaienko@example.com
Годунок,Людмила,Тимофіївна,Жіноча,1991-08-05,Ґрунтознавець,місто Авдіївка,"набережна Економічний, буд. 21, Моспине, 30754",027 896-27-76,violettahaievskyi@example.com
Фесенко,Онисим,Іванович,Чоловіча,1957-03-21,Археолог,місто Токмак,"шосе Вишнева, буд. 207 кв. 224, Новий Калинів, 54120",061 217-53-93,prytulaanzhela@example.net
Вахній,Ігнат,Олексійович,Чоловіча,1975-09-18,Режисер,місто Пирятин,"провулок Локомотивний 4-й, буд. 4 кв. 0, Ямпіль, 19455",430 82 55,havrylo68@example.com
Михайличенко,Михайло,Данилович,Чоловіча,1971-09-05,Етнограф,село Бориспіль,"проспект Бреуса Якова, буд. 25, Ірміно, 96331",+380 (71) 163-62-50,artempushkar@example.com
Чуприна,Христина,Олексіївна,Жіноча,1990-12-04,Акушер,хутір Камінь-Каширський,"провулок Різовська, буд. 0 кв. 388, Самар, 70473",128 39 83,oshevchenko@example.net
Калениченко,Емілія,Данилівна,Жіноча,2008-08-01,Фармацевт,хутір Татарбунари,"парк Змієнка Всеволода, буд. 01 кв. 53, Новий Буг, 70887",+380 47 657-86-22,ftalan@example.org
Зубко,Данна,Олексіївна,Жіноча,1956-09-16,Публіцист,село Почаїв,"парк Всеволода Змієнка, буд. 96, Ходорів, 83043",+380 10 663-88-56,khoma96@example.com
Власюк,Теодор,Назарович,Чоловіча,1964-06-22,Маркетолог,місто Шпола,"площа Йосипа Тимченка, буд. 07 кв. 49, Торецьк, 96488",505-23-40,frants83@example.com
Шаповал,Софія,Олександрівна,Жіноча,1997-08-13,Круп'є,селище Зоринськ,"парк Лузанівський 1-й, буд. 696, Моспине, 17317",080 004-23-21,naleksandrenko@example.net
Батуринець,Данна,Андріївна,Жіноча,2003-04-13,Біолог,місто Сокиряни,"проспект Олександра Кутузакія, буд. 3 кв. 81, Марганець, 71907",+380 64 678-14-86,dmytro96@example.org
Девдюк,Ганна,Павлівна,Жіноча,1960-12-12,Будник,хутір Острог,"шосе Олександра Білостінного, буд. 562 кв. 440, Чернівці, 87938",+380 31 577-98-49,vadym82@example.com
Баран,Валентина,Кирилівна,Жіноча,1941-10-13,Продюсер,місто Ірпінь,"вулиця 411-ї батареї, буд. 83, Ржищів, 87706",804 82 02,averchenkoruslan@example.com
Саєнко,Одарка,Артемівна,Жіноча,1983-02-15,Математик,село Старокостянтинів,"провулок Польська, буд. 0, Лозова, 75825",074-84-61,huktetiana@example.net
Мазепа,Нестор,Тимофійович,Чоловіча,1950-05-26,Конструктор,місто Лиман,"узвіз Парашутний, буд. 50 кв. 1, Бахмач, 26007",398-84-12,zabilavarvara@example.org
Свириденко,Орина,Олександрівна,Жіноча,2005-07-24,Актор,селище Довжанськ,"провулок Чумацька, буд. 22 кв. 490, Горішні Плавні, 02551",017 238 16 61,dpoltavets@example.com
Єрьоменко,Гордій,Тимофійович,Чоловіча,1995-01-03,Стоматолог,селище Баштанка,"парк Хімічний 1-й, буд. 5 кв. 982, Шептицький, 86814",050 860-17-21,amvrosiiiashchenko@example.org
Гунько,Аврелій,Павлович,Чоловіча,1981-10-21,Музикознавець,селище Трускавець,"сквер Чернишевського, буд. 090 кв. 67, Бобринець, 80108",025 839 82 48,bvlasenko@example.net
Євдокименко,Демид,Тимофійович,Чоловіча,1989-11-07,Підприємець,хутір Вознесенівка,"площа Панченка, буд. 267, Снятин, 72676",843-33-61,kyrylomykhaliuk@example.com
Заруба,Єфрем,Андрійович,Чоловіча,1981-02-20,Державний службовець,місто Тараща,"вулиця Лиманчик 2-й Лінія 3-тя, буд. 48 кв. 53, Бучач, 22724",+380 08 840-14-84,irena29@example.com
Остапчук,Ольга,Тимофіївна,Жіноча,1990-05-27,Дантист,місто Жашків,"площа Аеродромний 2-й, буд. 25 кв. 0, Гадяч, 04492",+380 (29) 677-59-15,levchenkoiryna@example.org
Абрамчук,Данило,Павлович,Чоловіча,1946-11-23,Петрограф,місто Берестин,"набережна Зелена балка, буд. 28 кв. 0, Ірпінь, 89213",039 138-00-77,durdynetsolha@example.org
Якименко,Роксолана,Сергіївна,Жіноча,2001-12-29,Дантист,село Берестин,"узвіз Базарна, буд. 6 кв. 4, Дубно, 26032",095 785-80-71,hshamrai@example.net
Дергач,Віктор,Антонович,Чоловіча,1989-09-07,Перекладач,селище Волочиськ,"проспект Наклонна, буд. 16 кв. 93, Євпаторія, 84823",181-30-40,ihnat43@example.org
Удовенко,Лукʼян,Олексійович,Чоловіча,1993-08-07,Графік,село Іршава,"площа Немировича-Данченка, буд. 4, Нікополь, 22320",390-64-20,khrystyna20@example.com
Башполченко,Сергій,Сергійович,Чоловіча,2007-05-16,Акушер,хутір Кролевець,"узвіз Мельницька, буд. 78, Апостолове, 49526",+380 89 418-17-44,skorykvladyslav@example.org
Сіробаба,Євген,Іванович,Чоловіча,1940-08-21,Педагог,село Липовець,"проспект П'ята, буд. 1, Малин, 50354",+380 30 230 12 06,hennadii37@example.org
Нестайко,Петро,Тимофійович,Чоловіча,1958-05-24,Драматург,місто Івано-Франківськ,"вулиця Платанова, буд. 4, Дніпрорудне, 46231",+380 (17) 297-00-74,martynarkhymovych@example.net
Цушко,Лукʼян,Романович,Чоловіча,1995-06-01,Літературознавець,село Помічна,"узвіз Місячний, буд. 095, Суходільськ, 89467",579-17-30,irena18@example.org
Дрозд,Миколай,Іванович,Чоловіча,1958-05-18,Графік,місто Шостка,"парк Квантовий, буд. 761, Баштанка, 74857",+380 32 542-50-62,valeriisliusar@example.com
Атаманчук,Ярина,Артемівна,Жіноча,1951-05-15,Письменник,селище Токмак,"провулок Туристська, буд. 1 кв. 82, Сімферополь, 01424",+380 89 809-02-22,boleslav60@example.org
Шевченко,Данило,Тимофійович,Чоловіча,1996-01-26,Ветеринар,селище Дружківка,"проспект Лузанівський, буд. 0, Жданівка, 22357",+380 08 288-96-80,cmazepa@example.net
Деревʼянко,Надія,Сергіївна,Жіноча,1939-08-04,Нотаріус,хутір Кілія,"сквер Затишна, буд. 8, Пирятин, 71867",+380 10 212-35-22,riabovilzlatoslava@example.com
Рак,Азар,Назарович,Чоловіча,1997-09-04,Петрограф,село Дебальцеве,"сквер Середньофонтанський, буд. 7 кв. 799, Бахмут, 30156",088 949 44 10,ielyseizharko@example.com
Андрійович,Анастасія,Романівна,Жіноча,2000-12-12,Епідеміолог,селище Тростянець,"парк Кустанайська, буд. 7 кв. 25, Здолбунів, 42906",+380 74 534 60 36,ebaranyk@example.com
Акименко,Ліза,Богданівна,Жіноча,1968-11-28,Ґрунтознавець,хутір Старокостянтинів,"вулиця Біржова, буд. 3 кв. 686, Кремінна, 09592",+380 (73) 162-77-03,iaremenkobohdan@example.net
Ватаманюк,Надія,Андріївна,Жіноча,1944-05-12,Ді-джей,село Довжанськ,"вулиця Селищна, буд. 86 кв. 0, Семенівка, 04173",088 587-79-00,orlykopanas@example.org
Бездітко,Ада,Іванівна,Жіноча,1987-12-20,Режисер,місто Корюківка,"набережна Опішнянський, буд. 89 кв. 385, Родинське, 32710",051 906 29 47,shvachkoamvrosii@example.com
Цушко,Венедикт,Кирилович,Чоловіча,1968-05-31,Акушер,місто Зборів,"узвіз Олександра Богомольця, буд. 7 кв. 498, Чорнобиль, 61895",490-18-70,eduardzabara@example.net
Журба,Вікторія,Тарасівна,Жіноча,1967-05-30,Бухгалтер,село Дрогобич,"вулиця 13-та ст. Великого Фонтану пляж, буд. 76 кв. 93, Гуляйполе, 78569",+380 77 230 96 29,artymyshynanataliia@example.net
Єщенко,Соломон,Артемович,Чоловіча,1989-12-10,Математик,місто Святогірськ,"набережна Грузинська, буд. 6, Курахове, 47983",+380 30 980-36-72,hpanchuk@example.com
Іщенко,Богуслав,Олексійович,Чоловіча,1971-11-19,Стоматолог,хутір Ніжин,"проспект Батуринська, буд. 4, Пирятин, 47561",+380 72 256-13-61,kyrylo78@example.com
Назаренко,Пріска,Кирилівна,Жіноча,1945-02-13,Фермер,місто Гуляйполе,"провулок Опішнянський, буд. 014, Алушта, 97581",053 470 48 39,taras10@example.net
Дробʼязко,Орина,Михайлівна,Жіноча,1968-04-01,Доцент,хутір Харків,"парк Левкоєва, буд. 9 кв. 25, Збараж, 16433",+380 33 682 55 24,tsybulenkokamilla@example.net
Вітер,Панас,Тимофійович,Чоловіча,1952-05-19,Геолог,село Новоселиця,"узвіз Стеценко, буд. 917, Шаргород, 68781",068 876 23 32,gkashchenko@example.com
Забара,Болеслав,Олександрович,Чоловіча,1956-05-16,Машиніст,село Золочів,"вулиця Лиманчик 2-й Лінія 4-та, буд. 80, Бердичів, 90396",407 47 50,viacheslavbabych@example.org
Луценко,Трохим,Романович,Чоловіча,1980-05-26,Акушер,місто Бунге,"узвіз Родоканакі, буд. 9 кв. 30, Бурштин, 46487",039 192-02-45,esaienko@example.com
Нестайко,Анастасія,Романівна,Жіноча,1966-01-19,Юрист,селище Татарбунари,"набережна Абрикосова, буд. 8, Шаргород, 89590",+380 64 560-42-63,kozaktymofii@example.net
Притула,Надія,Денисівна,Жіноча,1986-05-21,Гірник,хутір Токмак,"проспект Тиха, буд. 55 кв. 561, Люботин, 80853",025 132-49-48,valentynzabara@example.net
Дараган,Амалія,Артемівна,Жіноча,1956-01-29,Єгер,село Калинівка,"проспект Канатний, буд. 1 кв. 331, Севастополь, 09820",+380 40 480 27 21,jchmil@example.net
Христенко,Марія,Андріївна,Жіноча,1984-11-19,Правник,село Вишгород,"площа Високий, буд. 5 кв. 0, Арциз, 51586",038 449 67 55,svitlanaiesypenko@example.com
Стус,Пріска,Тимурівна,Жіноча,1965-12-27,Кінорежисер,хутір Біла Церква,"вулиця Рельєфна, буд. 0 кв. 11, Балта, 96454",+380 95 236-35-26,oleksandrorlyk@example.org
Бездітко,Одарка,Данилівна,Жіноча,2004-11-24,Фермер,село Підгайці,"узвіз Педагогічний, буд. 715, Погребище, 93630",018 547 58 49,rozaliia87@example.net
Гузій,Святослава,Романівна,Жіноча,1994-03-14,Акушер,місто Берислав,"провулок Штурманська, буд. 20 кв. 2, Надвірна, 77603",+380 25 942-68-49,bohodarandrusenko@example.com
Ніколюк,Богуслава,Данилівна,Жіноча,1974-03-23,Дипломат,хутір Березівка,"вулиця Ольги Благовидової, буд. 823, Тернівка, 08766",048-56-26,vertyporokheduard@example.com
Скирда,Леон,Олексійович,Чоловіча,1993-01-30,Астронавт,хутір Маріуполь,"шосе Грузовий, буд. 132 кв. 65, Городок, 32538",066 499-60-35,wveres@example.com
Базилевич,Алла,Романівна,Жіноча,1977-07-26,Програміст,село Скадовськ,"парк Задніпровського, буд. 18, Кривий Ріг, 30771",055 437 38 09,taras94@example.net
Затула,Мирон,Янович,Чоловіча,1997-05-21,Фольклорист,село Буринь,"сквер Владислава Домбровського, буд. 88, Дубровиця, 86258",741-68-72,dtymchenko@example.com
Заїка,Гліб,Романович,Чоловіча,1962-02-26,Астрофізик,хутір Городня,"узвіз Весняна, буд. 791, Сокологірськ, 48060",+380 23 481 55 04,babiiparmen@example.org
Чередник,Мілена,Тарасівна,Жіноча,2002-04-03,Ботанік,село Красногорівка,"парк Садовий, буд. 7, Авдіївка, 81492",+380 20 979 66 64,prokhir50@example.org
Колісниченко,Едита,Андріївна,Жіноча,1946-08-06,Державний службовець,селище Мелітополь,"площа Українська, буд. 4 кв. 2, Оріхів, 61175",012 10 45,artem40@example.org
Романенко,Трохим,Михайлович,Чоловіча,1970-03-11,Астрофізик,місто Знам'янка,"сквер Овідіопольська дорога, буд. 626, Збараж, 73667",846-41-01,iustymdzhus@example.org
Дзиндра,Світлана,Кирилівна,Жіноча,2007-10-19,Ветеринар,село Переяслав,"провулок Побратимів, буд. 1 кв. 578, Гірське, 68522",+380 60 121-25-74,volodymyr35@example.net
Ніколюк,Тарас,Михайлович,Чоловіча,1951-01-13,Ґрунтознавець,село Кіцмань,"узвіз Розумовський 2-й, буд. 116 кв. 8, Сіверськодонецьк, 79609",130 54 35,bashpolchenkoolena@example.net
Вергун,Аліна,Богданівна,Жіноча,2006-06-09,Пекар,селище Новомиргород,"площа Пересипська 5-та, буд. 34 кв. 940, Дубровиця, 26705",349-23-56,alevtyn04@example.org
Данилюк,Олег,Олексійович,Чоловіча,1947-10-12,Стропальник,село Бахчисарай,"парк Чайкова, буд. 771 кв. 28, Антрацит, 53495",016 363 02 71,borys56@example.org
Архимович,Тереза,Петрівна,Жіноча,1972-05-11,Зоолог,хутір Трускавець,"вулиця Вишневий, буд. 9 кв. 7, Жидачів, 25534",+380 46 783-85-38,iurchenkoorest@example.net
Артимович,Степан,Іванович,Чоловіча,1958-06-16,Ді-джей,місто Хорол,"провулок Каштанова, буд. 2 кв. 83, Кодима, 82364",915 37 56,cherednykveniiamyn@example.org
Кабаненко,Соломія,Павлівна,Жіноча,2000-08-08,Художник,хутір Привілля,"набережна Рози вітрів, буд. 53 кв. 9, Гірник, 49987",190 81 43,galagananita@example.com
Швайка,Олекса,Богданович,Чоловіча,1983-08-06,Співак,село Берестин,"проспект Зоопаркова, буд. 930 кв. 972, Калуш, 63472",+380 46 079-62-74,wverkhovynets@example.net
Пелех,Веніямин,Данилович,Чоловіча,1947-01-12,Акушер,хутір Борзна,"провулок Путівна, буд. 6, Пустомити, 66206",429 07 80,svystundaryna@example.com
Демиденко,Емілія,Михайлівна,Жіноча,2005-01-26,Дерун,хутір Одеса,"провулок Зелена балка, буд. 9, Бібрка, 09401",+380 43 598-11-20,khrystynahaida@example.org
Якименко,Артем,Сергійович,Чоловіча,1965-01-31,Юрист,хутір Черкаси,"сквер Заводська 4-та, буд. 18, Апостолове, 15099",+380 (21) 986-23-54,uzaichenko@example.org
Затовканюк,Одарка,Романівна,Жіноча,2005-05-25,Геолог,місто Алчевськ,"провулок Дачний 1-й, буд. 214, Верхньодніпровськ, 54450",+380 (47) 514-87-98,etsiutsiura@example.net
Їжак,Орина,Сергіївна,Жіноча,1992-07-01,Євнух,місто Черкаси,"проспект Бреуса Якова, буд. 6, Чернігів, 99533",390-45-28,stepan79@example.org
Шухевич,Лесь,Петрович,Чоловіча,1965-03-21,Співак,селище Яготин,"шосе Амундсена, 1-й, буд. 373, Кіцмань, 17193",+380 61 361-99-89,jbatiuk@example.com
Іващенко,Лесь,Андрійович,Чоловіча,1986-09-25,Кіноактор,селище Таврійськ,"вулиця Об'їзна дорога, буд. 989, Іловайськ, 52340",+380 (87) 729-05-20,tdakhno@example.com
Ващук,Данило,Романович,Чоловіча,1972-12-28,Випробувач,селище Генічеськ,"провулок Хаджибейський 2-й, буд. 7 кв. 37, Берислав, 43191",+380 64 060-25-94,azhazhamyroslav@example.net
Заруба,Емілія,Петрівна,Жіноча,2005-07-02,Намотувальник,село Тернівка,"площа Різницький, буд. 2, Острог, 61455",795-94-85,okseniiashovkoplias@example.org
Петрик,Мілена,Назарівна,Жіноча,1997-07-23,Історик,селище Новий Калинів,"шосе Набережна, буд. 934, Монастириська, 06807",+380 96 470-31-39,havrylo45@example.net
Хоменко,Ліза,Тарасівна,Жіноча,1987-12-14,Електромонтер,хутір Косів,"шосе Бузковий 2-й, буд. 80, П'ятихатки, 18176",032 642-99-57,qvakhnii@example.net
Батуринець,Василь,Олександрович,Чоловіча,1942-09-07,Геофізик,хутір Українськ,"набережна Героїв УПА, буд. 827 кв. 96, Вуглегірськ, 53845",239-32-67,adamzatovkaniuk@example.net
Забіла,Єлисавета,Данилівна,Жіноча,1964-02-20,Історик,село Щастя,"узвіз Малинова, буд. 352 кв. 31, Берестин, 61683",077 320 29 82,iustym64@example.com
Цимбалюк,Герман,Тимурович,Чоловіча,1960-07-10,Геофізик,селище Попасна,"шосе Грецький, буд. 22, Старобільськ, 81417",652 12 90,xhrechko@example.com
Дзиндра,Ілля,Романович,Чоловіча,1972-05-12,Диригент,місто Хмельницький,"вулиця Івахненка Петра, буд. 805, Старий Крим, 26481",027 665 06 61,amaliiabezborodko@example.com
Терещенко,Юстина,Михайлівна,Жіноча,1976-02-09,Паблік рилейшнз,місто Горохів,"площа Кондрашина, буд. 8 кв. 0, Тараща, 17918",041 213 24 68,danyliukhordii@example.com
Баранець,Камілла,Денисівна,Жіноча,2005-11-28,Будник,селище Глиняни,"вулиця Юрія Асєєва, буд. 70, Золотоноша, 48475",081 671 38 82,anton44@example.net
Яременко,Пантелеймон,Богданович,Чоловіча,1965-04-30,Хімік,місто Самар,"парк Могилівська, буд. 7 кв. 58, Овруч, 82442",+380 (07) 180-26-16,czakusylo@example.org
Сірко,Герман,Сергійович,Чоловіча,2004-04-29,Пекар,село Мала Виска,"шосе Рульовий, буд. 765 кв. 90, Березівка, 56929",+380 63 029-68-34,paliivalerii@example.net
Бгиденко,Лариса,Романівна,Жіноча,1962-05-16,Дипломат,хутір Кремінна,"шосе Кільцева, буд. 7 кв. 4, Кобеляки, 79722",+380 30 072-33-44,iarynababych@example.net
Вдовиченко,Валентин,Тимурович,Чоловіча,1996-06-01,Архітектор,селище Гребінка,"узвіз Сливова, буд. 25, Малин, 78410",+380 (52) 444-83-42,borys85@example.net
Скоробогатько,Аврелій,Михайлович,Чоловіча,1988-11-16,Геофізик,селище Армянськ,"площа Змієнка Всеволода, буд. 94, Новоазовськ, 34010",+380 70 166-41-01,pvasylevych@example.org
Воблий,Роман,Тимофійович,Чоловіча,1998-03-15,Бібліотекар,місто Новодружеськ,"шосе 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 2, Ізюм, 85259",033 740 04 21,chavrysh@example.com
Охріменко,Михайлина,Андріївна,Жіноча,1952-05-13,Хімік,село Боково-Хрустальне,"узвіз Виїзна, буд. 7 кв. 5, Золочів, 47201",+380 10 937 66 06,iurchukvarvara@example.org
Артим,Святослав,Романович,Чоловіча,1963-05-14,Педагог,село Єнакієве,"провулок Карпенка-Карого, буд. 3 кв. 24, Чорнобиль, 86436",750-13-52,svyrydenkostepan@example.net
Приходько,Давид,Богданович,Чоловіча,1973-09-28,Скульптор,селище Петрово-Красносілля,"проспект Дальницька, буд. 74 кв. 82, Українка, 18007",089 175 32 30,havryliukstanislav@example.net
Чуприна,Еріка,Кирилівна,Жіноча,1977-09-08,Актор,село Коростень,"шосе Карантинний узвіз, буд. 30 кв. 60, Міусинськ, 93698",+380 68 962-95-54,aleksiukkamilla@example.org
Забара,Омелян,Петрович,Чоловіча,1965-09-25,Фармацевт,місто Зимогір'я,"узвіз Водний, буд. 439 кв. 228, Новогродівка, 89741",+380 94 425-74-29,chaivoronska@example.net
Данченко,Ольга,Кирилівна,Жіноча,1993-11-01,Астроном,місто Прилуки,"вулиця Дальницьке, буд. 7 кв. 1, Жашків, 43048",077 989-94-96,demianchuksviatoslava@example.com
Парасюк,Назар,Михайлович,Чоловіча,1939-04-11,Режисер,хутір Бобровиця,"узвіз Велика Арнаутська, буд. 940 кв. 9, Корсунь-Шевченківський, 79624",+380 (49) 730-63-92,prokhir80@example.net
Чуприна,Олег,Назарович,Чоловіча,1965-01-08,Будник,село Кривий Ріг,"узвіз тупик Хвиля, буд. 807, Погребище, 41333",086 596 47 19,odarka87@example.net
Симоненко,Давид,Іванович,Чоловіча,1977-12-31,Водій,місто Приморськ,"узвіз Квітки-Основ’яненка, буд. 42, Любомль, 11034",+380 24 876 40 30,bohdan83@example.com
Гавришкевич,Орися,Денисівна,Жіноча,1985-07-12,Шериф,селище Баранівка,"шосе Михайлівська, буд. 212, Амвросіївка, 23626",+380 01 479 62 16,klymentvlasiuk@example.net
Бгиденко,Захар,Романович,Чоловіча,1983-01-15,Дизайнер,хутір Кобеляки,"шосе Кузнечна, буд. 164, Радивилів, 45245",+380 (59) 336-19-44,dmytro56@example.org
Гузь,Анжела,Іванівна,Жіноча,1987-03-28,Стропальник,місто Старий Самбір,"провулок Обільний 2-й, буд. 5 кв. 716, Путивль, 88033",+380 87 598-39-21,odubenko@example.com
Левченко,Надія,Данилівна,Жіноча,2003-02-14,Нотаріус,селище Зимогір'я,"площа Барвінковий, буд. 924 кв. 846, Брянка, 84885",+380 (07) 602-10-37,stanislavbabenko@example.org
Чайка,Світлана,Олександрівна,Жіноча,1976-04-04,Архітектор,село Миколаїв,"сквер узвіз Віталія Блажка, буд. 757, Заводське, 26053",031 002-38-93,solomonbandera@example.org
Колодуб,Олена,Кирилівна,Жіноча,1984-12-17,Географ,хутір Богодухів,"площа Владислава Домбровського, буд. 867 кв. 83, Люботин, 97568",694 00 65,levkobabiichuk@example.net
Атаманюк,Альберт,Данилович,Чоловіча,1957-06-27,Каскадер,хутір Гнівань,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 62 кв. 10, Пологи, 63706",006 224-09-31,ezabashta@example.com
Гупало,Володимир,Данилович,Чоловіча,1944-06-23,Електрослюсар,селище Покровськ,"провулок Асташкіна, буд. 9, Люботин, 03761",044 097-29-13,havrylivorest@example.net
Пушкар,Богуслава,Артемівна,Жіноча,1989-06-24,Історик,хутір Глухів,"провулок Карантинна, буд. 396 кв. 25, Жидачів, 63878",728 42 82,leontii27@example.org
Палій,Світлана,Денисівна,Жіноча,1998-10-17,Графік,селище Судова Вишня,"вулиця Приморський, буд. 838, Чортків, 96342",152 03 68,illiaperebyinis@example.net
Масляк,Михайлина,Михайлівна,Жіноча,1993-03-16,Вчитель,селище Судова Вишня,"узвіз Петра Лещенка, буд. 324 кв. 45, Севастополь, 31302",+380 91 563-26-56,artem91@example.com
Гавришкевич,Вікторія,Олексіївна,Жіноча,1941-04-12,Фармацевт,хутір Шостка,"площа Юзефа Крашевського, буд. 3 кв. 842, Каховка, 75964",+380 (71) 409-40-52,hordiikolodub@example.org
Арсенич,Ліза,Петрівна,Жіноча,1947-12-04,Клоун,село Павлоград,"набережна Глухий міст, буд. 74 кв. 774, Іллінці, 02258",+380 09 856-93-38,mykytachaika@example.net
Медведенко,Борис,Іванович,Чоловіча,2009-03-07,Ріелтор,село Тараща,"парк Басейний 6-й, буд. 274 кв. 26, Голубівка, 94470",296 25 36,heorhiidzhun@example.org
Твердохліб,Венедикт,Антонович,Чоловіча,1989-02-22,Географ,селище Лебедин,"сквер Парусна, буд. 189, Богуслав, 45045",+380 (23) 795-52-93,vakulenkoiakiv@example.net
Пилипенко,Тереза,Петрівна,Жіноча,2006-10-09,Ветеринар,хутір Часів Яр,"набережна Слобідський узвіз, буд. 9, Хрестівка, 14023",041 614-61-22,vasylhohol-ianovskyi@example.com
Ярема,Данна,Кирилівна,Жіноча,1943-12-29,Етнограф,місто Гола Пристань,"парк Тупиковий 1-й, буд. 4 кв. 29, Надвірна, 58854",715 71 02,tymchukroman@example.com
Верес,Сніжана,Тимофіївна,Жіноча,1950-04-20,Промисловець,хутір Берестин,"парк Високий, буд. 87 кв. 6, Соснівка, 98064",+380 20 620-88-91,alina60@example.net
Ващенко,Ілля,Олексійович,Чоловіча,1963-11-10,Кінорежисер,селище Заводське,"шосе Локомотивний 3-й, буд. 474 кв. 302, Зеленодольськ, 38655",+380 35 996-37-27,nestor84@example.org
Цибуленко,Олена,Романівна,Жіноча,1968-05-19,Мистецтвознавець,село Гадяч,"узвіз Лінія 22-га, буд. 9, Балта, 95704",+380 66 343-68-73,taraskolodub@example.org
Засенко,Камілла,Денисівна,Жіноча,1992-12-28,Круп'є,село Мала Виска,"набережна Кримський, буд. 144 кв. 4, Сіверськодонецьк, 66866",+380 90 835-31-91,mykhailoartemenko@example.net
Карась,Сніжана,Назарівна,Жіноча,1988-11-28,Правник,селище Вінниця,"сквер Гвоздична, буд. 33 кв. 54, Кремінна, 37399",+380 57 468-07-07,fbaida@example.org
Жайворон,Зорян,Олексійович,Чоловіча,1967-01-09,Композитор,село Ізяслав,"площа Машинобудівний, буд. 58 кв. 7, Берестечко, 07269",+380 (78) 479-51-91,dubasvarfolomii@example.com
Фурс,Розалія,Тимурівна,Жіноча,1987-08-12,Бібліограф,місто Заставна,"набережна Лінія 42-га, буд. 804 кв. 9, Каховка, 84252",661 45 58,levko13@example.com
Венгринович,Ростислав,Тарасович,Чоловіча,1999-03-02,Візажист,селище Бровари,"парк Флейтовий, буд. 7 кв. 60, Камінь-Каширський, 51771",184 12 63,petro76@example.net
Безбородько,Вʼячеслав,Іванович,Чоловіча,1952-03-01,Клоун,хутір Бердичів,"узвіз Магістральна, буд. 7 кв. 487, Херсон, 85880",+380 75 738 19 28,makarhavryliv@example.org
Дрозденко,Степан,Тимофійович,Чоловіча,2004-02-14,Менеджер,село Дебальцеве,"шосе Матроська Слободка , буд. 709 кв. 71, Вишневе, 94600",+380 (72) 706-51-10,batihihnat@example.org
Романчук,Василина,Сергіївна,Жіноча,2005-09-18,Медик,місто Гайворон,"сквер Гімназична, буд. 276 кв. 91, Рубіжне, 78321",+380 67 039-84-36,masokhavarvara@example.com
Корбут,Гліб,Романович,Чоловіча,1951-11-21,Історик,село Бережани,"проспект Романтичний, буд. 44 кв. 481, Вознесенівка, 91570",+380 20 759-96-04,oleksandr86@example.net
Тесленко,Анжела,Романівна,Жіноча,1941-04-10,Композитор,місто Українськ,"узвіз Аеропортівський 2-й, буд. 73, Семенівка, 40669",+380 72 266-57-14,tsiupastanislav@example.org
Терещенко,Ірина,Михайлівна,Жіноча,1989-04-12,Краєзнавець,хутір Білогірськ,"провулок Майка Йогансена, буд. 5 кв. 37, Таврійськ, 08247",998-60-21,snizhanaostapchuk@example.net
